"date","bw_alltweets","bw_noRTMT"
2013-07-31,"7609","4702"
2013-08-01,"7404","4447"
2013-08-02,"7077","4225"
2013-08-03,"6354","3919"
2013-08-04,"8176","4605"
2013-08-05,"9158","5559"
2013-08-06,"10403","5828"
2013-08-07,"9711","5849"
2013-08-08,"8840","5054"
2013-08-09,"6450","4024"
2013-08-10,"7380","4112"
2013-08-11,"9156","5087"
2013-08-12,"8965","5633"
2013-08-13,"9957","6048"
2013-08-14,"12156","7016"
2013-08-15,"23563","10712"
2013-08-16,"9083","4765"
2013-08-17,"8244","4550"
2013-08-18,"22287","13373"
2013-08-19,"16864","10925"
2013-08-20,"11316","6994"
2013-08-21,"9237","5765"
2013-08-22,"8350","5125"
2013-08-23,"7702","4700"
2013-08-24,"7386","4485"
2013-08-25,"9001","5672"
2013-08-26,"8828","5244"
2013-08-27,"10076","5835"
2013-08-28,"8866","5617"
2013-08-29,"7722","5026"
2013-08-30,"6565","4030"
2013-08-31,"7364","4383"
2013-09-01,"7311","4357"
2013-09-02,"8507","5100"
2013-09-03,"38337","18018"
2013-09-04,"12371","7604"
2013-09-05,"9672","5928"
2013-09-06,"8228","4727"
2013-09-07,"9666","5457"
2013-09-08,"15049","8215"
2013-09-09,"42989","16823"
2013-09-10,"32286","11765"
2013-09-11,"12858","6566"
2013-09-12,"11178","6740"
2013-09-13,"8383","5071"
2013-09-14,"8097","5046"
2013-09-15,"10142","5965"
2013-09-16,"9738","6110"
2013-09-17,"11073","6993"
2013-09-18,"9898","5540"
2013-09-19,"7575","5177"
2013-09-20,"10734","5082"
2013-09-21,"11762","6598"
2013-09-22,"9858","6562"
2013-09-23,"8716","5495"
2013-09-24,"8904","5723"
2013-09-25,"9860","6458"
2013-09-26,"8180","5259"
2013-09-27,"6691","4013"
2013-09-28,"7187","4530"
2013-09-29,"8926","5705"
2013-09-30,"8634","5451"
2013-10-01,"9121","5865"
2013-10-02,"9030","6004"
2013-10-03,"8227","5085"
2013-10-04,"6214","3977"
2013-10-05,"6138","4244"
2013-10-06,"8553","5361"
2013-10-07,"8621","5833"
2013-10-08,"9090","5385"
2013-10-09,"10882","6451"
2013-10-10,"9130","5708"
2013-10-11,"6467","4254"
2013-10-12,"6405","4218"
2013-10-13,"9992","6088"
2013-10-14,"10084","6242"
2013-10-15,"11455","7742"
2013-10-16,"9327","6033"
2013-10-17,"8017","5453"
2013-10-18,"7262","4863"
2013-10-19,"7461","4794"
2013-10-20,"8629","5233"
2013-10-21,"8972","5434"
2013-10-22,"7711","4854"
2013-10-23,"9677","5057"
2013-10-24,"6619","4343"
2013-10-25,"5579","3679"
2013-10-26,"7868","4782"
2013-10-27,"8542","5308"
2013-10-28,"7633","4994"
2013-10-29,"8776","5751"
2013-10-30,"7401","4581"
2013-10-31,"6921","3934"
2013-11-01,"6702","4245"
2013-11-02,"7626","3817"
2013-11-03,"8390","4626"
2013-11-04,"9913","5630"
2013-11-05,"7297","4894"
2013-11-06,"7141","4465"
2013-11-07,"8565","4462"
2013-11-08,"6032","3269"
2013-11-09,"7582","3715"
2013-11-10,"9798","5523"
2013-11-11,"8332","4846"
2013-11-12,"9630","5118"
2013-11-13,"8369","4794"
2013-11-14,"7878","4663"
2013-11-15,"5359","3440"
2013-11-16,"6417","3850"
2013-11-17,"7069","4414"
2013-11-18,"10095","6373"
2013-11-19,"8835","5672"
2013-11-20,"8580","5709"
2013-11-21,"6911","4736"
2013-11-22,"6339","3759"
2013-11-23,"6326","3820"
2013-11-24,"7755","5003"
2013-11-25,"6863","4519"
2013-11-26,"13385","8512"
2013-11-27,"8507","5919"
2013-11-28,"5403","3595"
2013-11-29,"6521","3784"
2013-11-30,"10354","5592"
2013-12-01,"7504","4946"
2013-12-02,"8180","5167"
2013-12-03,"7710","4692"
2013-12-04,"8060","4933"
2013-12-05,"6906","4542"
2013-12-06,"5760","3442"
2013-12-07,"6344","3944"
2013-12-08,"7343","4660"
2013-12-09,"6904","4808"
2013-12-10,"8066","5344"
2013-12-11,"7289","4527"
2013-12-12,"9420","5412"
2013-12-13,"5612","3657"
2013-12-14,"6292","3580"
2013-12-15,"7707","4893"
2013-12-16,"6747","4425"
2013-12-17,"8349","4503"
2013-12-18,"7195","4832"
2013-12-19,"7513","4864"
2013-12-20,"7319","4382"
2013-12-21,"6972","4504"
2013-12-22,"7423","4573"
2013-12-23,"6967","4175"
2013-12-24,"6282","3585"
2013-12-25,"5363","2933"
2013-12-26,"7534","4066"
2013-12-27,"5172","3365"
2013-12-28,"7108","4389"
2013-12-29,"12680","7284"
2013-12-30,"7794","5099"
2013-12-31,"5889","3617"
2014-01-01,"6631","4353"
2014-01-02,"8767","5244"
2014-01-03,"6872","4058"
2014-01-04,"7276","4769"
2014-01-05,"9981","6061"
2014-01-06,"9450","6181"
2014-01-07,"9432","5955"
2014-01-08,"7170","4760"
2014-01-09,"7675","4670"
2014-01-10,"7711","4228"
2014-01-11,"6621","4282"
2014-01-12,"7636","5043"
2014-01-13,"8329","4753"
2014-01-14,"8872","5323"
2014-01-15,"8757","5592"
2014-01-16,"10494","6087"
2014-01-17,"11022","6308"
2014-01-18,"9672","5533"
2014-01-19,"11800","6258"
2014-01-20,"12195","7194"
2014-01-21,"10045","6117"
2014-01-22,"10633","6125"
2014-01-23,"9832","5816"
2014-01-24,"7906","4994"
2014-01-25,"8307","4937"
2014-01-26,"10351","6079"
2014-01-27,"11182","6319"
2014-01-28,"11924","5643"
2014-01-29,"9621","5801"
2014-01-30,"10416","5688"
2014-01-31,"7627","4384"
2014-02-01,"9114","4497"
2014-02-02,"17471","6913"
2014-02-03,"10140","5788"
2014-02-04,"10645","5990"
2014-02-05,"9706","5241"
2014-02-06,"9270","5054"
2014-02-07,"6285","3868"
2014-02-08,"7023","3903"
2014-02-09,"11887","7361"
2014-02-10,"11413","7089"
2014-02-11,"10694","5652"
2014-02-12,"9777","5292"
2014-02-13,"6935","4434"
2014-02-14,"6161","3894"
2014-02-15,"6433","3939"
2014-02-16,"7154","4426"
2014-02-17,"8204","5217"
2014-02-18,"8830","5536"
2014-02-19,"7712","4911"
2014-02-20,"7405","4845"
2014-02-21,"5916","3876"
2014-02-22,"6646","4045"
2014-02-23,"7898","4982"
2014-02-24,"11471","4921"
2014-02-25,"8758","5328"
2014-02-26,"6937","4583"
2014-02-27,"6849","4314"
2014-02-28,"5576","3367"
2014-03-01,"5328","3613"
2014-03-02,"8116","5021"
2014-03-03,"7726","4956"
2014-03-04,"7760","4871"
2014-03-05,"8592","5452"
2014-03-06,"7628","4992"
2014-03-07,"5997","3860"
2014-03-08,"6725","4103"
2014-03-09,"7105","4676"
2014-03-10,"7648","5025"
2014-03-11,"7907","5081"
2014-03-12,"8048","5113"
2014-03-13,"7852","5345"
2014-03-14,"6530","4200"
2014-03-15,"7073","4496"
2014-03-16,"14896","8332"
2014-03-17,"11547","7032"
2014-03-18,"9252","6310"
2014-03-19,"9672","6012"
2014-03-20,"10340","6484"
2014-03-21,"6498","4210"
2014-03-22,"7376","4367"
2014-03-23,"8047","5279"
2014-03-24,"8493","5567"
2014-03-25,"7710","5119"
2014-03-26,"7977","5336"
2014-03-27,"8704","5109"
2014-03-28,"6985","3799"
2014-03-29,"7631","4017"
2014-03-30,"9071","4702"
2014-03-31,"8394","4712"
2014-04-01,"7728","4820"
2014-04-02,"9645","5456"
2014-04-03,"8308","4662"
2014-04-04,"7457","4382"
2014-04-05,"7243","4022"
2014-04-06,"7461","4790"
2014-04-07,"7503","4719"
2014-04-08,"7217","4849"
2014-04-09,"7084","4539"
2014-04-10,"7250","4551"
2014-04-11,"7625","3919"
2014-04-12,"6627","3665"
2014-04-13,"7346","4414"
2014-04-14,"7983","4894"
2014-04-15,"11602","6262"
2014-04-16,"10903","6946"
2014-04-17,"10898","6749"
2014-04-18,"6583","3937"
2014-04-19,"6221","3656"
2014-04-20,"6770","4087"
2014-04-21,"7643","4704"
2014-04-22,"8575","5022"
2014-04-23,"9218","4845"
2014-04-24,"7703","4815"
2014-04-25,"5337","3467"
2014-04-26,"5890","3640"
2014-04-27,"7246","4585"
2014-04-28,"7977","5017"
2014-04-29,"9113","5362"
2014-04-30,"7625","5131"
2014-05-01,"6762","4386"
2014-05-02,"5522","3538"
2014-05-03,"5310","3435"
2014-05-04,"8417","4581"
2014-05-05,"7182","4655"
2014-05-06,"6646","4408"
2014-05-07,"7043","4659"
2014-05-08,"8424","5506"
2014-05-09,"5777","3711"
2014-05-10,"4796","3122"
2014-05-11,"5710","3814"
2014-05-12,"5791","3984"
2014-05-13,"7161","4778"
2014-05-14,"8134","4685"
2014-05-15,"5282","3598"
2014-05-16,"5039","3416"
2014-05-17,"4910","3284"
2014-05-18,"8594","5269"
2014-05-19,"7771","4580"
2014-05-20,"7376","4663"
2014-05-21,"8592","4883"
2014-05-22,"7697","4799"
2014-05-23,"7673","4433"
2014-05-24,"7698","4231"
2014-05-25,"7497","4087"
2014-05-26,"8713","5300"
2014-05-27,"8291","5091"
2014-05-28,"6709","4344"
2014-05-29,"6472","4044"
2014-05-30,"5393","3507"
2014-05-31,"4724","2826"
2014-06-01,"5416","3192"
2014-06-02,"4885","3064"
2014-06-03,"4619","3172"
2014-06-04,"6628","4070"
2014-06-05,"6494","4149"
2014-06-06,"4717","3069"
2014-06-07,"5579","3425"
2014-06-08,"7276","4660"
2014-06-09,"10966","6255"
2014-06-10,"7533","4630"
2014-06-11,"7659","4671"
2014-06-12,"8908","4646"
2014-06-13,"7525","3417"
2014-06-14,"5844","3440"
2014-06-15,"8103","4660"
2014-06-16,"6871","4204"
2014-06-17,"6759","4249"
2014-06-18,"6776","4286"
2014-06-19,"6098","4005"
2014-06-20,"5866","3378"
2014-06-21,"5213","3211"
2014-06-22,"8172","5415"
2014-06-23,"7591","4768"
2014-06-24,"8134","5070"
2014-06-25,"7236","4436"
2014-06-26,"11198","6699"
2014-06-27,"8005","5402"
2014-06-28,"6095","3709"
2014-06-29,"7951","4473"
2014-06-30,"7288","4712"
2014-07-01,"8801","5261"
2014-07-02,"6973","4452"
2014-07-03,"5482","3663"
2014-07-04,"4618","3033"
2014-07-05,"4910","3374"
2014-07-06,"6295","4256"
2014-07-07,"7406","4810"
2014-07-08,"6832","4462"
2014-07-09,"8870","4815"
2014-07-10,"8232","4992"
2014-07-11,"6586","4113"
2014-07-12,"6233","3649"
2014-07-13,"6517","4159"
2014-07-14,"8724","5399"
2014-07-15,"7286","4658"
2014-07-16,"10844","4955"
2014-07-17,"8352","4609"
2014-07-18,"6358","3911"
2014-07-19,"7374","3887"
2014-07-20,"6623","4052"
2014-07-21,"7096","4568"
2014-07-22,"7379","4780"
2014-07-23,"7146","4630"
2014-07-24,"7223","4507"
2014-07-25,"5947","3910"
2014-07-26,"6352","3830"
2014-07-27,"7384","4287"
2014-07-28,"8201","5175"
2014-07-29,"7602","4997"
2014-07-30,"8182","4923"
2014-07-31,"8181","4743"
2014-08-01,"6195","3738"
2014-08-02,"5715","3455"
2014-08-03,"6355","4114"
2014-08-04,"7874","4731"
2014-08-05,"6955","4444"
2014-08-06,"8482","5131"
2014-08-07,"7672","4248"
2014-08-08,"7669","4442"
2014-08-09,"6794","3987"
2014-08-10,"8117","4594"
2014-08-11,"264919","102959"
2014-08-12,"50432","24926"
2014-08-13,"24933","13834"
2014-08-14,"16647","9884"
2014-08-15,"11675","7181"
2014-08-16,"9698","5646"
2014-08-17,"11641","6779"
2014-08-18,"10419","6177"
2014-08-19,"9025","5353"
2014-08-20,"9455","6315"
2014-08-21,"9219","5862"
2014-08-22,"7946","4831"
2014-08-23,"7169","4227"
2014-08-24,"9763","5991"
2014-08-25,"11628","6259"
2014-08-26,"8768","5439"
2014-08-27,"8725","4859"
2014-08-28,"6785","4110"
2014-08-29,"6206","3797"
2014-08-30,"6113","3527"
2014-08-31,"10741","4037"
2014-09-01,"9757","5518"
2014-09-02,"10458","6186"
2014-09-03,"9236","5710"
2014-09-04,"9636","5887"
2014-09-05,"11585","6748"
2014-09-06,"10876","5993"
2014-09-07,"13000","7582"
2014-09-08,"13183","7390"
2014-09-09,"31985","13443"
2014-09-10,"21825","10164"
2014-09-11,"11292","6139"
2014-09-12,"6444","4047"
2014-09-13,"7069","3962"
2014-09-14,"8717","5255"
2014-09-15,"11087","6241"
